fname,label,length
B_S2_D1_067-bebop_000_.wav,drone,1.024
B_S2_D1_067-bebop_001_.wav,drone,1.024
B_S2_D1_067-bebop_002_.wav,drone,1.024
B_S2_D1_067-bebop_003_.wav,drone,1.024
B_S2_D1_067-bebop_004_.wav,drone,0.896
B_S2_D1_068-bebop_000_.wav,drone,1.024
B_S2_D1_068-bebop_001_.wav,drone,1.024
B_S2_D1_068-bebop_002_.wav,drone,1.024
B_S2_D1_068-bebop_003_.wav,drone,1.024
B_S2_D1_068-bebop_004_.wav,drone,0.896
B_S2_D1_069-bebop_000_.wav,drone,1.024
B_S2_D1_069-bebop_001_.wav,drone,1.024
B_S2_D1_069-bebop_002_.wav,drone,1.024
B_S2_D1_069-bebop_003_.wav,drone,1.024
B_S2_D1_069-bebop_004_.wav,drone,0.896
B_S2_D1_070-bebop_000_.wav,drone,1.024
B_S2_D1_070-bebop_001_.wav,drone,1.024
B_S2_D1_070-bebop_002_.wav,drone,1.024
B_S2_D1_070-bebop_003_.wav,drone,1.024
B_S2_D1_070-bebop_004_.wav,drone,0.896
B_S2_D1_071-bebop_000_.wav,drone,1.024
B_S2_D1_071-bebop_001_.wav,drone,1.024
B_S2_D1_071-bebop_002_.wav,drone,1.024
B_S2_D1_071-bebop_003_.wav,drone,1.024
B_S2_D1_071-bebop_004_.wav,drone,0.896
B_S2_D1_072-bebop_000_.wav,drone,1.024
B_S2_D1_072-bebop_001_.wav,drone,1.024
B_S2_D1_072-bebop_002_.wav,drone,1.024
B_S2_D1_072-bebop_003_.wav,drone,1.024
B_S2_D1_072-bebop_004_.wav,drone,0.896
B_S2_D1_073-bebop_000_.wav,drone,1.024
B_S2_D1_073-bebop_001_.wav,drone,1.024
B_S2_D1_073-bebop_002_.wav,drone,1.024
B_S2_D1_073-bebop_003_.wav,drone,1.024
B_S2_D1_073-bebop_004_.wav,drone,0.896
B_S2_D1_074-bebop_000_.wav,drone,1.024
B_S2_D1_074-bebop_001_.wav,drone,1.024
B_S2_D1_074-bebop_002_.wav,drone,1.024
B_S2_D1_074-bebop_003_.wav,drone,1.024
B_S2_D1_074-bebop_004_.wav,drone,0.896
B_S2_D1_075-bebop_000_.wav,drone,1.024
B_S2_D1_075-bebop_001_.wav,drone,1.024
B_S2_D1_075-bebop_002_.wav,drone,1.024
B_S2_D1_075-bebop_003_.wav,drone,1.024
B_S2_D1_075-bebop_004_.wav,drone,0.896
B_S2_D1_076-bebop_000_.wav,drone,1.024
B_S2_D1_076-bebop_001_.wav,drone,1.024
B_S2_D1_076-bebop_002_.wav,drone,1.024
B_S2_D1_076-bebop_003_.wav,drone,1.024
B_S2_D1_076-bebop_004_.wav,drone,0.896
B_S2_D1_077-bebop_000_.wav,drone,1.024
B_S2_D1_077-bebop_001_.wav,drone,1.024
B_S2_D1_077-bebop_002_.wav,drone,1.024
B_S2_D1_077-bebop_003_.wav,drone,1.024
B_S2_D1_077-bebop_004_.wav,drone,0.896
B_S2_D1_078-bebop_000_.wav,drone,1.024
B_S2_D1_078-bebop_001_.wav,drone,1.024
B_S2_D1_078-bebop_002_.wav,drone,1.024
B_S2_D1_078-bebop_003_.wav,drone,1.024
B_S2_D1_078-bebop_004_.wav,drone,0.896
B_S2_D1_079-bebop_000_.wav,drone,1.024
B_S2_D1_079-bebop_001_.wav,drone,1.024
B_S2_D1_079-bebop_002_.wav,drone,1.024
B_S2_D1_079-bebop_003_.wav,drone,1.024
B_S2_D1_079-bebop_004_.wav,drone,0.896
B_S2_D1_080-bebop_000_.wav,drone,1.024
B_S2_D1_080-bebop_001_.wav,drone,1.024
B_S2_D1_080-bebop_002_.wav,drone,1.024
B_S2_D1_080-bebop_003_.wav,drone,1.024
B_S2_D1_080-bebop_004_.wav,drone,1.024
B_S2_D1_081-bebop_000_.wav,drone,1.024
B_S2_D1_081-bebop_001_.wav,drone,1.024
B_S2_D1_081-bebop_002_.wav,drone,1.024
B_S2_D1_081-bebop_003_.wav,drone,1.024
B_S2_D1_081-bebop_004_.wav,drone,0.896
B_S2_D1_082-bebop_000_.wav,drone,1.024
B_S2_D1_082-bebop_001_.wav,drone,1.024
B_S2_D1_082-bebop_002_.wav,drone,1.024
B_S2_D1_082-bebop_003_.wav,drone,1.024
B_S2_D1_082-bebop_004_.wav,drone,0.896
B_S2_D1_083-bebop_000_.wav,drone,1.024
B_S2_D1_083-bebop_001_.wav,drone,1.024
B_S2_D1_083-bebop_002_.wav,drone,1.024
B_S2_D1_083-bebop_003_.wav,drone,1.024
B_S2_D1_083-bebop_004_.wav,drone,0.896
B_S2_D1_084-bebop_000_.wav,drone,1.024
B_S2_D1_084-bebop_001_.wav,drone,1.024
B_S2_D1_084-bebop_002_.wav,drone,1.024
B_S2_D1_084-bebop_003_.wav,drone,1.024
B_S2_D1_084-bebop_004_.wav,drone,0.896
B_S2_D1_085-bebop_000_.wav,drone,1.024
B_S2_D1_085-bebop_001_.wav,drone,1.024
B_S2_D1_085-bebop_002_.wav,drone,1.024
B_S2_D1_085-bebop_003_.wav,drone,1.024
B_S2_D1_085-bebop_004_.wav,drone,0.896
B_S2_D1_086-bebop_000_.wav,drone,1.024
B_S2_D1_086-bebop_001_.wav,drone,1.024
B_S2_D1_086-bebop_002_.wav,drone,1.024
B_S2_D1_086-bebop_003_.wav,drone,1.024
B_S2_D1_086-bebop_004_.wav,drone,0.896
B_S2_D1_087-bebop_000_.wav,drone,1.024
B_S2_D1_087-bebop_001_.wav,drone,1.024
B_S2_D1_087-bebop_002_.wav,drone,1.024
B_S2_D1_087-bebop_003_.wav,drone,1.024
B_S2_D1_087-bebop_004_.wav,drone,0.896
B_S2_D1_088-bebop_000_.wav,drone,1.024
B_S2_D1_088-bebop_001_.wav,drone,1.024
B_S2_D1_088-bebop_002_.wav,drone,1.024
B_S2_D1_088-bebop_003_.wav,drone,1.024
B_S2_D1_088-bebop_004_.wav,drone,0.896
B_S2_D1_089-bebop_000_.wav,drone,1.024
B_S2_D1_089-bebop_001_.wav,drone,1.024
B_S2_D1_089-bebop_002_.wav,drone,1.024
B_S2_D1_089-bebop_003_.wav,drone,1.024
B_S2_D1_089-bebop_004_.wav,drone,0.896
B_S2_D1_090-bebop_000_.wav,drone,1.024
B_S2_D1_090-bebop_001_.wav,drone,1.024
B_S2_D1_090-bebop_002_.wav,drone,1.024
B_S2_D1_090-bebop_003_.wav,drone,1.024
B_S2_D1_090-bebop_004_.wav,drone,0.896
B_S2_D1_091-bebop_000_.wav,drone,1.024
B_S2_D1_091-bebop_001_.wav,drone,1.024
B_S2_D1_091-bebop_002_.wav,drone,1.024
B_S2_D1_091-bebop_003_.wav,drone,1.024
B_S2_D1_091-bebop_004_.wav,drone,0.896
B_S2_D1_092-bebop_000_.wav,drone,1.024
B_S2_D1_092-bebop_001_.wav,drone,1.024
B_S2_D1_092-bebop_002_.wav,drone,1.024
B_S2_D1_092-bebop_003_.wav,drone,1.024
B_S2_D1_092-bebop_004_.wav,drone,0.896
B_S2_D1_093-bebop_000_.wav,drone,1.024
B_S2_D1_093-bebop_001_.wav,drone,1.024
B_S2_D1_093-bebop_002_.wav,drone,1.024
B_S2_D1_093-bebop_003_.wav,drone,1.024
B_S2_D1_093-bebop_004_.wav,drone,0.896
B_S2_D1_094-bebop_000_.wav,drone,1.024
B_S2_D1_094-bebop_001_.wav,drone,1.024
B_S2_D1_094-bebop_002_.wav,drone,1.024
B_S2_D1_094-bebop_003_.wav,drone,1.024
B_S2_D1_094-bebop_004_.wav,drone,0.896
B_S2_D1_095-bebop_000_.wav,drone,1.024
B_S2_D1_095-bebop_001_.wav,drone,1.024
B_S2_D1_095-bebop_002_.wav,drone,1.024
B_S2_D1_095-bebop_003_.wav,drone,1.024
B_S2_D1_095-bebop_004_.wav,drone,0.896
B_S2_D1_096-bebop_000_.wav,drone,1.024
B_S2_D1_096-bebop_001_.wav,drone,1.024
B_S2_D1_096-bebop_002_.wav,drone,1.024
B_S2_D1_096-bebop_003_.wav,drone,1.024
B_S2_D1_096-bebop_004_.wav,drone,1.024
B_S2_D1_097-bebop_000_.wav,drone,1.024
B_S2_D1_097-bebop_001_.wav,drone,1.024
B_S2_D1_097-bebop_002_.wav,drone,1.024
B_S2_D1_097-bebop_003_.wav,drone,1.024
B_S2_D1_097-bebop_004_.wav,drone,0.896
B_S2_D1_098-bebop_000_.wav,drone,1.024
B_S2_D1_098-bebop_001_.wav,drone,1.024
B_S2_D1_098-bebop_002_.wav,drone,1.024
B_S2_D1_098-bebop_003_.wav,drone,1.024
B_S2_D1_098-bebop_004_.wav,drone,0.896
B_S2_D1_099-bebop_000_.wav,drone,1.024
B_S2_D1_099-bebop_001_.wav,drone,1.024
B_S2_D1_099-bebop_002_.wav,drone,1.024
B_S2_D1_099-bebop_003_.wav,drone,1.024
B_S2_D1_099-bebop_004_.wav,drone,0.896
B_S2_D1_100-bebop_000_.wav,drone,1.024
B_S2_D1_100-bebop_001_.wav,drone,1.024
B_S2_D1_100-bebop_002_.wav,drone,1.024
B_S2_D1_100-bebop_003_.wav,drone,1.024
B_S2_D1_100-bebop_004_.wav,drone,0.896
B_S2_D1_101-bebop_000_.wav,drone,1.024
B_S2_D1_101-bebop_001_.wav,drone,1.024
B_S2_D1_101-bebop_002_.wav,drone,1.024
B_S2_D1_101-bebop_003_.wav,drone,1.024
B_S2_D1_101-bebop_004_.wav,drone,0.896
B_S2_D1_102-bebop_000_.wav,drone,1.024
B_S2_D1_102-bebop_001_.wav,drone,1.024
B_S2_D1_102-bebop_002_.wav,drone,1.024
B_S2_D1_102-bebop_003_.wav,drone,1.024
B_S2_D1_102-bebop_004_.wav,drone,0.896
B_S2_D1_103-bebop_000_.wav,drone,1.024
B_S2_D1_103-bebop_001_.wav,drone,1.024
B_S2_D1_103-bebop_002_.wav,drone,1.024
B_S2_D1_103-bebop_003_.wav,drone,1.024
B_S2_D1_103-bebop_004_.wav,drone,0.896
B_S2_D1_104-bebop_000_.wav,drone,1.024
B_S2_D1_104-bebop_001_.wav,drone,1.024
B_S2_D1_104-bebop_002_.wav,drone,1.024
B_S2_D1_104-bebop_003_.wav,drone,1.024
B_S2_D1_104-bebop_004_.wav,drone,0.896
B_S2_D1_105-bebop_000_.wav,drone,1.024
B_S2_D1_105-bebop_001_.wav,drone,1.024
B_S2_D1_105-bebop_002_.wav,drone,1.024
B_S2_D1_105-bebop_003_.wav,drone,1.024
B_S2_D1_105-bebop_004_.wav,drone,0.896
B_S2_D1_106-bebop_000_.wav,drone,1.024
B_S2_D1_106-bebop_001_.wav,drone,1.024
B_S2_D1_106-bebop_002_.wav,drone,1.024
